source_lang,target_lang,source_text,target_text
en,pa,I watch music in the city.,ਮੈਂ ਸ਼ਹਿਰ ਵਿੱਚ ਸੰਗੀਤ ਦੇਖਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਸ਼ਹਿਰ ਵਿੱਚ ਸੰਗੀਤ ਦੇਖਦਾ ਹਾਂ।,I watch music in the city.
hi,pa,मैं शहर में संगीत देखता हूं।,ਮੈਂ ਸ਼ਹਿਰ ਵਿੱਚ ਸੰਗੀਤ ਦੇਖਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਸ਼ਹਿਰ ਵਿੱਚ ਸੰਗੀਤ ਦੇਖਦਾ ਹਾਂ।,मैं शहर में संगीत देखता हूं।
en,hi,We watch coffee in the village.,हम गांव में कॉफ़ी देखते हैं.
hi,en,हम गांव में कॉफ़ी देखते हैं.,We watch coffee in the village.
en,pa,We watch coffee in the village.,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕੌਫੀ ਦੇਖਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕੌਫੀ ਦੇਖਦੇ ਹਾਂ।,We watch coffee in the village.
hi,pa,हम गांव में कॉफ़ी देखते हैं.,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕੌਫੀ ਦੇਖਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕੌਫੀ ਦੇਖਦੇ ਹਾਂ।,हम गांव में कॉफ़ी देखते हैं.
en,hi,I visit cricket in the restaurant.,मैं रेस्तरां में क्रिकेट देखने जाता हूं।
hi,en,मैं रेस्तरां में क्रिकेट देखने जाता हूं।,I visit cricket in the restaurant.
en,pa,I visit cricket in the restaurant.,ਮੈਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦੇਖਣ ਜਾਂਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦੇਖਣ ਜਾਂਦਾ ਹਾਂ।,I visit cricket in the restaurant.
hi,pa,मैं रेस्तरां में क्रिकेट देखने जाता हूं।,ਮੈਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦੇਖਣ ਜਾਂਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦੇਖਣ ਜਾਂਦਾ ਹਾਂ।,मैं रेस्तरां में क्रिकेट देखने जाता हूं।
en,hi,They want tea in the home.,उन्हें घर में चाय चाहिए.
hi,en,उन्हें घर में चाय चाहिए.,They want tea in the home.
en,pa,They want tea in the home.,ਉਹ ਘਰ ਵਿੱਚ ਚਾਹ ਚਾਹੁੰਦੇ ਹਨ।
pa,en,ਉਹ ਘਰ ਵਿੱਚ ਚਾਹ ਚਾਹੁੰਦੇ ਹਨ।,They want tea in the home.
hi,pa,उन्हें घर में चाय चाहिए.,ਉਹ ਘਰ ਵਿੱਚ ਚਾਹ ਚਾਹੁੰਦੇ ਹਨ।
pa,hi,ਉਹ ਘਰ ਵਿੱਚ ਚਾਹ ਚਾਹੁੰਦੇ ਹਨ।,उन्हें घर में चाय चाहिए.
en,hi,You eat coffee in the village.,आप गांव में कॉफ़ी पीते हैं.
hi,en,आप गांव में कॉफ़ी पीते हैं.,You eat coffee in the village.
en,pa,You eat coffee in the village.,ਤੁਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕੌਫੀ ਖਾਓ।
pa,en,ਤੁਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕੌਫੀ ਖਾਓ।,You eat coffee in the village.
hi,pa,आप गांव में कॉफ़ी पीते हैं.,ਤੁਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕੌਫੀ ਖਾਓ।
pa,hi,ਤੁਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕੌਫੀ ਖਾਓ।,आप गांव में कॉफ़ी पीते हैं.
en,hi,We play music in the market.,हम बाज़ार में संगीत बजाते हैं।
hi,en,हम बाज़ार में संगीत बजाते हैं।,We play music in the market.
en,pa,We play music in the market.,ਅਸੀਂ ਮਾਰਕੀਟ ਵਿੱਚ ਸੰਗੀਤ ਚਲਾਉਂਦੇ ਹਾਂ.
pa,en,ਅਸੀਂ ਮਾਰਕੀਟ ਵਿੱਚ ਸੰਗੀਤ ਚਲਾਉਂਦੇ ਹਾਂ.,We play music in the market.
hi,pa,हम बाज़ार में संगीत बजाते हैं।,ਅਸੀਂ ਮਾਰਕੀਟ ਵਿੱਚ ਸੰਗੀਤ ਚਲਾਉਂਦੇ ਹਾਂ.
pa,hi,ਅਸੀਂ ਮਾਰਕੀਟ ਵਿੱਚ ਸੰਗੀਤ ਚਲਾਉਂਦੇ ਹਾਂ.,हम बाज़ार में संगीत बजाते हैं।
en,hi,She eat cricket in the park.,वह पार्क में क्रिकेट खाती है।
hi,en,वह पार्क में क्रिकेट खाती है।,She eat cricket in the park.
en,pa,She eat cricket in the park.,ਉਹ ਪਾਰਕ ਵਿੱਚ ਕ੍ਰਿਕਟ ਖਾਂਦੀ ਹੈ।
pa,en,ਉਹ ਪਾਰਕ ਵਿੱਚ ਕ੍ਰਿਕਟ ਖਾਂਦੀ ਹੈ।,She eat cricket in the park.
hi,pa,वह पार्क में क्रिकेट खाती है।,ਉਹ ਪਾਰਕ ਵਿੱਚ ਕ੍ਰਿਕਟ ਖਾਂਦੀ ਹੈ।
pa,hi,ਉਹ ਪਾਰਕ ਵਿੱਚ ਕ੍ਰਿਕਟ ਖਾਂਦੀ ਹੈ।,वह पार्क में क्रिकेट खाती है।
en,hi,He want football in the village.,वह गांव में फुटबॉल चाहता है.
hi,en,वह गांव में फुटबॉल चाहता है.,He want football in the village.
en,pa,He want football in the village.,ਉਹ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਚਾਹੁੰਦਾ ਹੈ।
pa,en,ਉਹ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਚਾਹੁੰਦਾ ਹੈ।,He want football in the village.
hi,pa,वह गांव में फुटबॉल चाहता है.,ਉਹ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਚਾਹੁੰਦਾ ਹੈ।
pa,hi,ਉਹ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਚਾਹੁੰਦਾ ਹੈ।,वह गांव में फुटबॉल चाहता है.
en,hi,I prefer food in the school.,मुझे स्कूल का खाना पसंद है.
hi,en,मुझे स्कूल का खाना पसंद है.,I prefer food in the school.
en,pa,I prefer food in the school.,ਮੈਂ ਸਕੂਲ ਵਿੱਚ ਖਾਣਾ ਪਸੰਦ ਕਰਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਸਕੂਲ ਵਿੱਚ ਖਾਣਾ ਪਸੰਦ ਕਰਦਾ ਹਾਂ।,I prefer food in the school.
hi,pa,मुझे स्कूल का खाना पसंद है.,ਮੈਂ ਸਕੂਲ ਵਿੱਚ ਖਾਣਾ ਪਸੰਦ ਕਰਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਸਕੂਲ ਵਿੱਚ ਖਾਣਾ ਪਸੰਦ ਕਰਦਾ ਹਾਂ।,मुझे स्कूल का खाना पसंद है.
en,hi,You like music in the restaurant.,आपको रेस्तरां में संगीत पसंद है.
hi,en,आपको रेस्तरां में संगीत पसंद है.,You like music in the restaurant.
en,pa,You like music in the restaurant.,ਤੁਹਾਨੂੰ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਸੰਗੀਤ ਪਸੰਦ ਹੈ।
pa,en,ਤੁਹਾਨੂੰ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਸੰਗੀਤ ਪਸੰਦ ਹੈ।,You like music in the restaurant.
hi,pa,आपको रेस्तरां में संगीत पसंद है.,ਤੁਹਾਨੂੰ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਸੰਗੀਤ ਪਸੰਦ ਹੈ।
pa,hi,ਤੁਹਾਨੂੰ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਸੰਗੀਤ ਪਸੰਦ ਹੈ।,आपको रेस्तरां में संगीत पसंद है.
en,hi,He play coffee in the school.,वह स्कूल में कॉफ़ी खेलता है।
hi,en,वह स्कूल में कॉफ़ी खेलता है।,He play coffee in the school.
en,pa,He play coffee in the school.,ਉਹ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਖੇਡਦਾ ਹੈ।
pa,en,ਉਹ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਖੇਡਦਾ ਹੈ।,He play coffee in the school.
hi,pa,वह स्कूल में कॉफ़ी खेलता है।,ਉਹ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਖੇਡਦਾ ਹੈ।
pa,hi,ਉਹ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਖੇਡਦਾ ਹੈ।,वह स्कूल में कॉफ़ी खेलता है।
en,hi,I want coffee in the home.,मुझे घर पर कॉफ़ी चाहिए.
hi,en,मुझे घर पर कॉफ़ी चाहिए.,I want coffee in the home.
en,pa,I want coffee in the home.,ਮੈਨੂੰ ਘਰ ਵਿੱਚ ਕੌਫੀ ਚਾਹੀਦੀ ਹੈ।
pa,en,ਮੈਨੂੰ ਘਰ ਵਿੱਚ ਕੌਫੀ ਚਾਹੀਦੀ ਹੈ।,I want coffee in the home.
hi,pa,मुझे घर पर कॉफ़ी चाहिए.,ਮੈਨੂੰ ਘਰ ਵਿੱਚ ਕੌਫੀ ਚਾਹੀਦੀ ਹੈ।
pa,hi,ਮੈਨੂੰ ਘਰ ਵਿੱਚ ਕੌਫੀ ਚਾਹੀਦੀ ਹੈ।,मुझे घर पर कॉफ़ी चाहिए.
en,hi,I eat books in the market.,मैं बाजार में किताबें खाता हूं.
hi,en,मैं बाजार में किताबें खाता हूं.,I eat books in the market.
en,pa,I eat books in the market.,ਮੈਂ ਬਾਜ਼ਾਰ ਵਿੱਚ ਕਿਤਾਬਾਂ ਖਾਂਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਬਾਜ਼ਾਰ ਵਿੱਚ ਕਿਤਾਬਾਂ ਖਾਂਦਾ ਹਾਂ।,I eat books in the market.
hi,pa,मैं बाजार में किताबें खाता हूं.,ਮੈਂ ਬਾਜ਼ਾਰ ਵਿੱਚ ਕਿਤਾਬਾਂ ਖਾਂਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਬਾਜ਼ਾਰ ਵਿੱਚ ਕਿਤਾਬਾਂ ਖਾਂਦਾ ਹਾਂ।,मैं बाजार में किताबें खाता हूं.
en,hi,You visit football in the village.,आप गांव में फुटबॉल देखने जाएं.
hi,en,आप गांव में फुटबॉल देखने जाएं.,You visit football in the village.
en,pa,You visit football in the village.,ਤੁਸੀਂ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਦਾ ਦੌਰਾ ਕਰੋ।
pa,en,ਤੁਸੀਂ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਦਾ ਦੌਰਾ ਕਰੋ।,You visit football in the village.
hi,pa,आप गांव में फुटबॉल देखने जाएं.,ਤੁਸੀਂ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਦਾ ਦੌਰਾ ਕਰੋ।
pa,hi,ਤੁਸੀਂ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਦਾ ਦੌਰਾ ਕਰੋ।,आप गांव में फुटबॉल देखने जाएं.
en,hi,He eat tea in the park.,उसने पार्क में चाय पी।
hi,en,उसने पार्क में चाय पी।,He eat tea in the park.
en,pa,He eat tea in the park.,ਉਹ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਪੀਂਦਾ ਹੈ।
pa,en,ਉਹ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਪੀਂਦਾ ਹੈ।,He eat tea in the park.
hi,pa,उसने पार्क में चाय पी।,ਉਹ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਪੀਂਦਾ ਹੈ।
pa,hi,ਉਹ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਪੀਂਦਾ ਹੈ।,उसने पार्क में चाय पी।
en,hi,I know football in the market.,मैं बाज़ार में फ़ुटबॉल जानता हूँ।
hi,en,मैं बाज़ार में फ़ुटबॉल जानता हूँ।,I know football in the market.
en,pa,I know football in the market.,ਮੈਂ ਮਾਰਕੀਟ ਵਿੱਚ ਫੁੱਟਬਾਲ ਨੂੰ ਜਾਣਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਮਾਰਕੀਟ ਵਿੱਚ ਫੁੱਟਬਾਲ ਨੂੰ ਜਾਣਦਾ ਹਾਂ।,I know football in the market.
hi,pa,मैं बाज़ार में फ़ुटबॉल जानता हूँ।,ਮੈਂ ਮਾਰਕੀਟ ਵਿੱਚ ਫੁੱਟਬਾਲ ਨੂੰ ਜਾਣਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਮਾਰਕੀਟ ਵਿੱਚ ਫੁੱਟਬਾਲ ਨੂੰ ਜਾਣਦਾ ਹਾਂ।,मैं बाज़ार में फ़ुटबॉल जानता हूँ।
en,hi,We eat apples in the market.,हम बाजार में सेब खाते हैं.
hi,en,हम बाजार में सेब खाते हैं.,We eat apples in the market.
en,pa,We eat apples in the market.,ਅਸੀਂ ਬਾਜ਼ਾਰ ਵਿੱਚ ਸੇਬ ਖਾਂਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਬਾਜ਼ਾਰ ਵਿੱਚ ਸੇਬ ਖਾਂਦੇ ਹਾਂ।,We eat apples in the market.
hi,pa,हम बाजार में सेब खाते हैं.,ਅਸੀਂ ਬਾਜ਼ਾਰ ਵਿੱਚ ਸੇਬ ਖਾਂਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਬਾਜ਼ਾਰ ਵਿੱਚ ਸੇਬ ਖਾਂਦੇ ਹਾਂ।,हम बाजार में सेब खाते हैं.
en,hi,He prefer movies in the home.,वह घर में फिल्में पसंद करते हैं।
hi,en,वह घर में फिल्में पसंद करते हैं।,He prefer movies in the home.
en,pa,He prefer movies in the home.,ਉਹ ਘਰ ਵਿੱਚ ਫਿਲਮਾਂ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦਾ ਹੈ।
pa,en,ਉਹ ਘਰ ਵਿੱਚ ਫਿਲਮਾਂ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦਾ ਹੈ।,He prefer movies in the home.
hi,pa,वह घर में फिल्में पसंद करते हैं।,ਉਹ ਘਰ ਵਿੱਚ ਫਿਲਮਾਂ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦਾ ਹੈ।
pa,hi,ਉਹ ਘਰ ਵਿੱਚ ਫਿਲਮਾਂ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦਾ ਹੈ।,वह घर में फिल्में पसंद करते हैं।
en,hi,We like food in the city.,हमें शहर का खाना पसंद है.
hi,en,हमें शहर का खाना पसंद है.,We like food in the city.
en,pa,We like food in the city.,ਸਾਨੂੰ ਸ਼ਹਿਰ ਵਿੱਚ ਖਾਣਾ ਪਸੰਦ ਹੈ।
pa,en,ਸਾਨੂੰ ਸ਼ਹਿਰ ਵਿੱਚ ਖਾਣਾ ਪਸੰਦ ਹੈ।,We like food in the city.
hi,pa,हमें शहर का खाना पसंद है.,ਸਾਨੂੰ ਸ਼ਹਿਰ ਵਿੱਚ ਖਾਣਾ ਪਸੰਦ ਹੈ।
pa,hi,ਸਾਨੂੰ ਸ਼ਹਿਰ ਵਿੱਚ ਖਾਣਾ ਪਸੰਦ ਹੈ।,हमें शहर का खाना पसंद है.
en,hi,She know food in the city.,वह शहर में खाना जानती है।
hi,en,वह शहर में खाना जानती है।,She know food in the city.
en,pa,She know food in the city.,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਖਾਣਾ ਜਾਣਦੀ ਹੈ।
pa,en,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਖਾਣਾ ਜਾਣਦੀ ਹੈ।,She know food in the city.
hi,pa,वह शहर में खाना जानती है।,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਖਾਣਾ ਜਾਣਦੀ ਹੈ।
pa,hi,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਖਾਣਾ ਜਾਣਦੀ ਹੈ।,वह शहर में खाना जानती है।
en,hi,He eat tea in the market.,उसने बाजार में चाय पी।
hi,en,उसने बाजार में चाय पी।,He eat tea in the market.
en,pa,He eat tea in the market.,ਉਹ ਬਾਜ਼ਾਰ ਵਿੱਚ ਚਾਹ ਖਾਂਦਾ ਹੈ।
pa,en,ਉਹ ਬਾਜ਼ਾਰ ਵਿੱਚ ਚਾਹ ਖਾਂਦਾ ਹੈ।,He eat tea in the market.
hi,pa,उसने बाजार में चाय पी।,ਉਹ ਬਾਜ਼ਾਰ ਵਿੱਚ ਚਾਹ ਖਾਂਦਾ ਹੈ।
pa,hi,ਉਹ ਬਾਜ਼ਾਰ ਵਿੱਚ ਚਾਹ ਖਾਂਦਾ ਹੈ।,उसने बाजार में चाय पी।
en,hi,They eat cars in the home.,वे घर में कार खाते हैं।
hi,en,वे घर में कार खाते हैं।,They eat cars in the home.
en,pa,They eat cars in the home.,ਉਹ ਘਰ ਵਿੱਚ ਕਾਰਾਂ ਖਾਂਦੇ ਹਨ।
pa,en,ਉਹ ਘਰ ਵਿੱਚ ਕਾਰਾਂ ਖਾਂਦੇ ਹਨ।,They eat cars in the home.
hi,pa,वे घर में कार खाते हैं।,ਉਹ ਘਰ ਵਿੱਚ ਕਾਰਾਂ ਖਾਂਦੇ ਹਨ।
pa,hi,ਉਹ ਘਰ ਵਿੱਚ ਕਾਰਾਂ ਖਾਂਦੇ ਹਨ।,वे घर में कार खाते हैं।
en,hi,We eat books in the park.,हम पार्क में किताबें खाते हैं।
hi,en,हम पार्क में किताबें खाते हैं।,We eat books in the park.
en,pa,We eat books in the park.,ਅਸੀਂ ਪਾਰਕ ਵਿੱਚ ਕਿਤਾਬਾਂ ਖਾਂਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਪਾਰਕ ਵਿੱਚ ਕਿਤਾਬਾਂ ਖਾਂਦੇ ਹਾਂ।,We eat books in the park.
hi,pa,हम पार्क में किताबें खाते हैं।,ਅਸੀਂ ਪਾਰਕ ਵਿੱਚ ਕਿਤਾਬਾਂ ਖਾਂਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਪਾਰਕ ਵਿੱਚ ਕਿਤਾਬਾਂ ਖਾਂਦੇ ਹਾਂ।,हम पार्क में किताबें खाते हैं।
en,hi,He watch football in the city.,वह शहर में फुटबॉल देखता है।
hi,en,वह शहर में फुटबॉल देखता है।,He watch football in the city.
en,pa,He watch football in the city.,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਫੁੱਟਬਾਲ ਦੇਖਦਾ ਹੈ।
pa,en,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਫੁੱਟਬਾਲ ਦੇਖਦਾ ਹੈ।,He watch football in the city.
hi,pa,वह शहर में फुटबॉल देखता है।,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਫੁੱਟਬਾਲ ਦੇਖਦਾ ਹੈ।
pa,hi,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਫੁੱਟਬਾਲ ਦੇਖਦਾ ਹੈ।,वह शहर में फुटबॉल देखता है।
en,hi,I like football in the village.,मुझे गांव में फुटबॉल पसंद है.
hi,en,मुझे गांव में फुटबॉल पसंद है.,I like football in the village.
en,pa,I like football in the village.,ਮੈਨੂੰ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਪਸੰਦ ਹੈ।
pa,en,ਮੈਨੂੰ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਪਸੰਦ ਹੈ।,I like football in the village.
hi,pa,मुझे गांव में फुटबॉल पसंद है.,ਮੈਨੂੰ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਪਸੰਦ ਹੈ।
pa,hi,ਮੈਨੂੰ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਪਸੰਦ ਹੈ।,मुझे गांव में फुटबॉल पसंद है.
en,hi,You prefer coffee in the restaurant.,आप रेस्तरां में कॉफ़ी पसंद करते हैं.
hi,en,आप रेस्तरां में कॉफ़ी पसंद करते हैं.,You prefer coffee in the restaurant.
en,pa,You prefer coffee in the restaurant.,ਤੁਸੀਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕੌਫੀ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹੋ।
pa,en,ਤੁਸੀਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕੌਫੀ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹੋ।,You prefer coffee in the restaurant.
hi,pa,आप रेस्तरां में कॉफ़ी पसंद करते हैं.,ਤੁਸੀਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕੌਫੀ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹੋ।
pa,hi,ਤੁਸੀਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕੌਫੀ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹੋ।,आप रेस्तरां में कॉफ़ी पसंद करते हैं.
en,hi,You watch cricket in the market.,आप बाजार में क्रिकेट देखते हैं.
hi,en,आप बाजार में क्रिकेट देखते हैं.,You watch cricket in the market.
en,pa,You watch cricket in the market.,ਤੁਸੀਂ ਮਾਰਕੀਟ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦੇਖਦੇ ਹੋ।
pa,en,ਤੁਸੀਂ ਮਾਰਕੀਟ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦੇਖਦੇ ਹੋ।,You watch cricket in the market.
hi,pa,आप बाजार में क्रिकेट देखते हैं.,ਤੁਸੀਂ ਮਾਰਕੀਟ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦੇਖਦੇ ਹੋ।
pa,hi,ਤੁਸੀਂ ਮਾਰਕੀਟ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦੇਖਦੇ ਹੋ।,आप बाजार में क्रिकेट देखते हैं.
en,hi,You eat movies in the office.,आप ऑफिस में फिल्में खाते हैं।
hi,en,आप ऑफिस में फिल्में खाते हैं।,You eat movies in the office.
en,pa,You eat movies in the office.,ਤੁਸੀਂ ਦਫ਼ਤਰ ਵਿੱਚ ਫਿਲਮਾਂ ਖਾਂਦੇ ਹੋ।
pa,en,ਤੁਸੀਂ ਦਫ਼ਤਰ ਵਿੱਚ ਫਿਲਮਾਂ ਖਾਂਦੇ ਹੋ।,You eat movies in the office.
hi,pa,आप ऑफिस में फिल्में खाते हैं।,ਤੁਸੀਂ ਦਫ਼ਤਰ ਵਿੱਚ ਫਿਲਮਾਂ ਖਾਂਦੇ ਹੋ।
pa,hi,ਤੁਸੀਂ ਦਫ਼ਤਰ ਵਿੱਚ ਫਿਲਮਾਂ ਖਾਂਦੇ ਹੋ।,आप ऑफिस में फिल्में खाते हैं।
en,hi,He know movies in the office.,वह कार्यालय में फिल्में जानता है।
hi,en,वह कार्यालय में फिल्में जानता है।,He know movies in the office.
en,pa,He know movies in the office.,ਉਹ ਦਫਤਰ ਵਿਚ ਫਿਲਮਾਂ ਜਾਣਦਾ ਹੈ।
pa,en,ਉਹ ਦਫਤਰ ਵਿਚ ਫਿਲਮਾਂ ਜਾਣਦਾ ਹੈ।,He know movies in the office.
hi,pa,वह कार्यालय में फिल्में जानता है।,ਉਹ ਦਫਤਰ ਵਿਚ ਫਿਲਮਾਂ ਜਾਣਦਾ ਹੈ।
